"","Beer","Brewery","Location","Style","Size","ABV","IBU"
"2122","Dolores River Mild","Dolores River Brewery","Dolores, CO","English Dark Mild Ale","16 oz.","???","N/A"
"2123","Special Amber","Sprecher Brewing Company","Glendale, WI","Vienna Lager","12 oz.","5.0%","22"
"2124","Upslope Craft Lager","Upslope Brewing Company","Boulder, CO","Vienna Lager","12 oz.","4.8%","22"
"2125","Great Crescent Stout","Great Crescent Brewery","Aurora, IN","English Stout","16 oz.","8.0%","66"
"2126","Great Crescent Coconut Porter (2012)","Great Crescent Brewery","Aurora, IN","American Porter","16 oz.","5.6%","33"
"2127","Great Crescent Dark Lager","Great Crescent Brewery","Aurora, IN","Euro Dark Lager","16 oz.","5.7%","23"
"2128","Great Crescent Mild Ale","Great Crescent Brewery","Aurora, IN","English Dark Mild Ale","16 oz.","4.2%","26"
"2129","Great Crescent IPA (2011)","Great Crescent Brewery","Aurora, IN","American IPA","16 oz.","6.2%","60"
"2130","Flyin' HI.P.Hay","Maui Brewing Company","Lahaina, HI","American IPA","12 oz.","6.8%","68"
"2131","Sockeye Red IPA","Midnight Sun Brewing Company","Anchorage, AK","American IPA","12 oz.","5.7%","70"
"2132","Greenville Pale Ale","Twin Lakes Brewing Company","Greenville, DE","American Pale Ale (APA)","12 oz.","5.5%","52"
"2133","Hop Crisis","21st Amendment Brewery","San Francisco, CA","American Double / Imperial IPA","12 oz.","9.7%","94"
"2134","Colorado Native (2011)","AC Golden Brewing Company","Golden, CO","American Amber / Red Lager","12 oz.","5.5%","26"
