Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU,ABV_Norm,IBU_Norm
Black Walnut Wheat,Piney River Brewing Company,,,American Dark Wheat Ale,Dark Ale,Dark,16,45.0,18,0.36,
Desolation IPA,Amnesia Brewing Company,WA,West,American IPA,IPA,Strong Ale,16,62.0,43,0.496,
Firemans #4 Blonde Ale (2015),Real Ale Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,51.0,21,0.408,
Dale's Pale Ale (2012),Oskar Blues Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
Tonganoxie Honey Wheat,High Noon Saloon And Brewery,KS,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,44.0,22,0.352,
Point Nude Beach Summer Wheat,Stevens Point Brewery,WI,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,50.0,7,0.4,
Boont Amber Ale (2010),Anderson Valley Brewing Company,CA,West,American Amber / Red Ale,Dark Ale,Dark,12,58.0,15,0.464,
Hoopla Pale Ale,Boulder Beer Company,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,57.0,35,0.456,
Gordon Imperial Red (2010),Oskar Blues Brewery,CO,West,American Double / Imperial IPA,IPA,Strong Ale,12,87.0,85,0.696,
Gordon (2005),Oskar Blues Brewery,CO,West,American Double / Imperial IPA,IPA,Strong Ale,12,92.0,85,0.736,
Ten Fidy Imperial Stout (2008),Oskar Blues Brewery,CO,West,Russian Imperial Stout,Stout / Porter,Dark,12,95.0,98,0.76,
Ten Fidy Imperial Stout (2007),Oskar Blues Brewery,CO,West,Russian Imperial Stout,Stout / Porter,Dark,12,99.0,98,0.792,
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,CA,West,Fruit / Vegetable Beer,Sour,Other,12,49.0,17,0.392,
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,CA,West,Fruit / Vegetable Beer,Sour,Other,12,49.0,17,0.392,
21st Amendment Watermelon Wheat Beer (2006),21st Amendment Brewery,CA,West,Fruit / Vegetable Beer,Sour,Other,12,49.0,17,0.392,
21st Amendment IPA (2006),21st Amendment Brewery,CA,West,American IPA,IPA,Strong Ale,12,70.0,70,0.56,
Brew Free! or Die IPA (2008),21st Amendment Brewery,CA,West,American IPA,IPA,Strong Ale,12,70.0,70,0.56,
Brew Free! or Die IPA (2009),21st Amendment Brewery,CA,West,American IPA,IPA,Strong Ale,12,70.0,70,0.56,
Ashland Amber Ale (2009),Caldera Brewing Company,OR,West,American Amber / Red Ale,Dark Ale,Dark,12,54.0,24,0.432,
Caldera IPA (2009),Caldera Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,61.0,94,0.488,
Caldera IPA (2007),Caldera Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,61.0,94,0.488,
Caldera Pale Ale (2010),Caldera Brewing Company,OR,West,American Pale Ale (APA),Pale Ale,Ale,12,56.0,55,0.448,
Caldera Pale Ale (2009),Caldera Brewing Company,OR,West,American Pale Ale (APA),Pale Ale,Ale,12,56.0,55,0.448,
Caldera Pale Ale (2005),Caldera Brewing Company,OR,West,American Pale Ale (APA),Pale Ale,Ale,12,56.0,55,0.448,
Caldera Pale Ale (2007),Caldera Brewing Company,OR,West,American Pale Ale (APA),Pale Ale,Ale,12,56.0,55,0.448,
Old Chub (2008),Oskar Blues Brewery,CO,West,Scottish Ale,Strong Ale,Strong Ale,12,80.0,35,0.64,
Old Chub (2004),Oskar Blues Brewery,CO,West,Scottish Ale,Strong Ale,Strong Ale,12,80.0,35,0.64,
Old Chub (2003),Oskar Blues Brewery,CO,West,Scottish Ale,Strong Ale,Strong Ale,12,80.0,35,0.64,
Choc Beer (2003),Krebs Brewing Company (Pete's Pl...,OK,South,American Dark Wheat Ale,Dark Ale,Dark,12,40.0,9,0.32,
Brownstone,Sixpoint Craft Ales,NY,Northeast,American Brown Ale,Dark Ale,Dark,16,59.0,47,0.472,
Mr. Pineapple,SanTan Brewing Company,AZ,West,Fruit / Vegetable Beer,Sour,Other,12,50.0,20,0.4,
Mutton Buster,Payette Brewing Company,ID,West,American Brown Ale,Dark Ale,Dark,12,55.0,25,0.44,
Blueberry Blonde Ale,Matt Brewing Company,NY,Northeast,American Blonde Ale,Pale Ale,Ale,12,50.0,12,0.4,
Point Nude Beach Summer Wheat (2011),Stevens Point Brewery,WI,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,50.0,7,0.4,
Harpoon IPA (2012),Harpoon Brewery,,,American IPA,IPA,Strong Ale,12,59.0,42,0.472,
Harpoon Summer Beer (2012),Harpoon Brewery,,,Kölsch,German Ale,Ale,12,50.0,28,0.4,
Moose Drool Brown Ale (2011),Big Sky Brewing Company,MT,West,American Brown Ale,Dark Ale,Dark,12,51.0,26,0.408,
Montana Trout Slayer Ale (2012),Big Sky Brewing Company,MT,West,American Pale Wheat Ale,Pale Ale,Ale,12,50.0,35,0.4,
Buffalo Sweat,Tallgrass Brewing Company,KS,Midwest,Milk / Sweet Stout,Stout / Porter,Dark,16,50.0,20,0.4,
American Idiot Ale (2012),SanTan Brewing Company,AZ,West,American Pale Ale (APA),Pale Ale,Ale,12,55.0,45,0.44,
Ace IPA,Wingman Brewers,WA,West,American IPA,IPA,Strong Ale,16,74.0,83,0.592,
Cold Smoke Scotch Ale (2007),Kettle House Brewing Company,MT,West,Scotch Ale / Wee Heavy,Strong Ale,Strong Ale,16,65.0,11,0.52,
Double Haul IPA (2009),Kettle House Brewing Company,MT,West,American IPA,IPA,Strong Ale,16,65.0,65,0.52,
Double Haul IPA (2006),Kettle House Brewing Company,MT,West,American IPA,IPA,Strong Ale,16,65.0,65,0.52,
Dale's Pale Ale (2011),Oskar Blues Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
Dale's Pale Ale (2010),Oskar Blues Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
Summer Solstice Cerveza Crema (2009),Anderson Valley Brewing Company,CA,West,Cream Ale,Pale Ale,Ale,12,56.0,4,0.448,
Hurricane Amber Ale (2004),Coastal Extreme Brewing Company,RI,Northeast,American Amber / Red Ale,Dark Ale,Dark,12,52.0,24,0.416,
Burning Bush Smoked IPA,Golden Road Brewing,CA,West,American IPA,IPA,Strong Ale,16,80.0,70,0.64,
Wolf Among Weeds IPA (2012),Golden Road Brewing,CA,West,American IPA,IPA,Strong Ale,16,80.0,70,0.64,
Fat Tire Amber Ale (2011),New Belgium Brewing Company,CO,West,American Amber / Red Ale,Dark Ale,Dark,12,52.0,18,0.416,
Old Grogham Imperial India Pale Ale (2012),Natian Brewery,OR,West,American Double / Imperial IPA,IPA,Strong Ale,16,85.0,86,0.68,
Dale's Pale Ale (2008),Oskar Blues Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
Dale's Pale Ale (2006),Oskar Blues Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
Dale's Pale Ale (2004),Oskar Blues Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
Dale's Pale Ale (2003),Oskar Blues Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
Dale's Pale Ale (2002),Oskar Blues Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
Hop Slayer Double IPA (2011),Wild Onion Brewing Company,IL,Midwest,American Double / Imperial IPA,IPA,Strong Ale,12,82.0,100,0.656,
Indianapolis Indians Lager,Sun King Brewing Company,IN,Midwest,Dortmunder / Export Lager,German Lager,Lager,16,52.0,24,0.416,
Ornery Amber Lager (2003),Tommyknocker Brewery,CO,West,Vienna Lager,Lager,Lager,12,55.0,33,0.44,
Gordon Beer (2006),Oskar Blues Brewery,CO,West,American Double / Imperial IPA,IPA,Strong Ale,12,87.0,60,0.696,
California Sunshine Rye IPA,Devil's Canyon Brewery,CA,West,American IPA,IPA,Strong Ale,16,71.0,85,0.568,
Midnight Ryder,Indeed Brewing Company,MN,Midwest,American Black Ale,Dark Ale,Dark,12,65.0,80,0.52,
Day Tripper Pale Ale,Indeed Brewing Company,MN,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,54.0,45,0.432,
G'KNIGHT (16 oz.),Oskar Blues Brewery,CO,West,American Double / Imperial IPA,IPA,Strong Ale,16,87.0,85,0.696,
Hilliard's Blonde,Hilliard's Beer,WA,West,American Blonde Ale,Pale Ale,Ale,16,49.0,20,0.392,
Over the Rail Pale Ale,Pug Ryan's Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,57.0,68,0.456,
Devils Tramping Ground Tripel,Aviator Brewing Company,NC,South,Tripel,Belgian,Ale,12,92.0,5,0.736,
Hot Rod Red,Aviator Brewing Company,NC,South,American Amber / Red Ale,Dark Ale,Dark,12,61.0,41,0.488,
Indians Victory Lager (2012),Sun King Brewing Company,IN,Midwest,Dortmunder / Export Lager,German Lager,Lager,16,52.0,24,0.416,
Stimulator Pale Ale,Pateros Creek Brewing Company,CO,West,American Pale Ale (APA),Pale Ale,Ale,16,53.0,48,0.424,
Old Town Ale,Pateros Creek Brewing Company,CO,West,Kölsch,German Ale,Ale,16,45.0,22,0.36,
Car 21,Pateros Creek Brewing Company,CO,West,English Bitter,Sour,Other,16,44.0,28,0.352,
Flying Jenny Extra Pale Ale (2012),Grey Sail Brewing of Rhode Island,RI,Northeast,American Pale Ale (APA),Pale Ale,Ale,12,60.0,54,0.48,
Blue Point White IPA,Blue Point Brewing Company,NY,Northeast,American White IPA,IPA,Strong Ale,12,60.0,40,0.48,
Sobrehumano Palena'ole,Maui Brewing Company,HI,West,American Amber / Red Ale,Dark Ale,Dark,12,60.0,24,0.48,
Lava Lake Wit,Crazy Mountain Brewing Company,CO,West,Witbier,Belgian,Ale,12,52.0,15,0.416,
Upslope Belgian Style Pale Ale,Upslope Brewing Company,CO,West,Belgian Pale Ale,Pale Ale,Ale,12,75.0,30,0.6,
Summertime Ale,Crystal Springs Brewing Company,CO,West,Kölsch,German Ale,Ale,16,52.0,23,0.416,
Halcyon Unfiltered Wheat,Tallgrass Brewing Company,KS,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,50.0,20,0.4,
Dottie Seattle Lager,Emerald City Beer Company,WA,West,American Amber / Red Lager,Lager,Lager,16,49.0,25,0.392,
Hop A Potamus Double Dark Rye Pale Ale,Great River Brewery,IA,Midwest,Rye Beer,Other,Other,16,90.0,99,0.72,
Mucho Aloha Hawaiian Pale Ale,Butcher's Brewing,CA,West,American Pale Ale (APA),Pale Ale,Ale,12,56.0,36,0.448,
Blue Point Summer Ale,Blue Point Brewing Company,NY,Northeast,American Blonde Ale,Pale Ale,Ale,12,44.0,16,0.352,
Rodeo Clown Double IPA,Karbach Brewing Company,TX,South,American Double / Imperial IPA,IPA,Strong Ale,12,95.0,85,0.76,
Toasted Lager,Blue Point Brewing Company,NY,Northeast,Vienna Lager,Lager,Lager,12,55.0,28,0.44,
Elevated IPA,La Cumbre Brewing Company,NM,West,American IPA,IPA,Strong Ale,16,72.0,100,0.576,
TailGate IPA,TailGate Beer,CA,West,American IPA,IPA,Strong Ale,12,50.0,44,0.4,
Crabtree Oatmeal Stout,Crabtree Brewing Company,CO,West,Oatmeal Stout,Stout / Porter,Dark,16,75.0,29,0.6,
Farmer Brown Ale,Great River Brewery,IA,Midwest,American Brown Ale,Dark Ale,Dark,16,70.0,22,0.56,
Hopworks IPA (2012),Hopworks Urban Brewery,OR,West,American IPA,IPA,Strong Ale,16,66.0,75,0.528,
Isis,Sun King Brewing Company,IN,Midwest,American Double / Imperial IPA,IPA,Strong Ale,16,91.0,91,0.728,
Three Kings Ale,Stevens Point Brewery,WI,Midwest,Kölsch,German Ale,Ale,12,49.0,13,0.392,
Great Crescent Brown Ale,Great Crescent Brewery,IN,Midwest,American Brown Ale,Dark Ale,Dark,16,45.0,36,0.36,
Fairweather IPA,Broken Tooth Brewing Company,AK,West,American IPA,IPA,Strong Ale,12,61.0,64,0.488,
Full Boar Scotch Ale,Devil's Canyon Brewery,CA,West,Scotch Ale / Wee Heavy,Strong Ale,Strong Ale,16,74.0,12,0.592,
Hoppy Boy,Twisted Pine Brewing Company,CO,West,American IPA,IPA,Strong Ale,16,62.0,65,0.496,
Cherry Ale (1),Great Crescent Brewery,IN,Midwest,Fruit / Vegetable Beer,Sour,Other,16,57.0,18,0.456,
Monkeynaut IPA,Straight to Ale,AL,South,American IPA,IPA,Strong Ale,12,72.0,70,0.576,
Ryeteous Rye IPA (2012),Renegade Brewing Company,CO,West,American IPA,IPA,Strong Ale,16,70.0,100,0.56,
Firestarter India Pale Ale,Bonfire Brewing Company,CO,West,American IPA,IPA,Strong Ale,16,66.0,72,0.528,
House Brand IPA,Big River Brewing Company,TN,South,American IPA,IPA,Strong Ale,12,60.0,55,0.48,
Flagship Ale,Grey Sail Brewing of Rhode Island,RI,Northeast,Cream Ale,Pale Ale,Ale,12,49.0,22,0.392,
Apollo,Sixpoint Craft Ales,NY,Northeast,American Pale Wheat Ale,Pale Ale,Ale,16,52.0,11,0.416,
Harbinger,Sixpoint Craft Ales,NY,Northeast,Saison / Farmhouse Ale,Ale - Other,Ale,16,49.0,35,0.392,
Resin,Sixpoint Craft Ales,NY,Northeast,American Double / Imperial IPA,IPA,Strong Ale,12,91.0,103,0.728,
Aurora Lager (2011),Great Crescent Brewery,IN,Midwest,Dortmunder / Export Lager,German Lager,Lager,16,57.0,27,0.456,
Wachusett Blueberry Ale,Wachusett Brewing Company,,,Fruit / Vegetable Beer,Sour,Other,12,45.0,10,0.36,
Green Monsta IPA,Wachusett Brewing Company,,,American IPA,IPA,Strong Ale,12,60.0,55,0.48,
Zonker Stout,Snake River Brewing Company,WY,West,Foreign / Export Stout,Stout / Porter,Dark,12,54.0,36,0.432,
Frosted Fields Winter Wheat,Great Crescent Brewery,IN,Midwest,American Dark Wheat Ale,Dark Ale,Dark,16,60.0,25,0.48,
834 Happy As Ale,Blue Blood Brewing Company,NE,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,46.0,35,0.368,
UFO White,Harpoon Brewery,,,American Pale Wheat Ale,Pale Ale,Ale,12,48.0,10,0.384,
Rosa Hibiscus Ale,Revolution Brewing Company,IL,Midwest,Herbed / Spiced Beer,Other,Other,12,58.0,15,0.464,
Snake Dog IPA,Flying Dog Brewery,MD,South,American IPA,IPA,Strong Ale,12,71.0,60,0.568,
Underdog Atlantic Lager,Flying Dog Brewery,MD,South,American Pale Lager,Lager,Lager,12,47.0,28,0.376,
Midwest Charm Farmhouse Ale,Okoboji Brewing Company,IA,Midwest,Saison / Farmhouse Ale,Ale - Other,Ale,16,60.0,29,0.48,
Boji Blue Pale Ale,Okoboji Brewing Company,IA,Midwest,American Pale Ale (APA),Pale Ale,Ale,16,50.0,45,0.4,
Winter Games Select #32 Stout,Okoboji Brewing Company,IA,Midwest,American Stout,Stout / Porter,Dark,16,57.0,26,0.456,
Boji Beach Golden Rye Ale,Okoboji Brewing Company,IA,Midwest,Rye Beer,Other,Other,16,50.0,23,0.4,
This Season's Blonde,Aspen Brewing Company,CO,West,American Blonde Ale,Pale Ale,Ale,12,56.0,27,0.448,
Independence Pass Ale,Aspen Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,70.0,67,0.56,
Longboard Island Lager,Kona Brewing Company,HI,West,American Amber / Red Lager,Lager,Lager,12,46.0,18,0.368,
Schlafly Hefeweizen,Schlafly Brewing Company,,,Hefeweizen,German Ale,Ale,12,41.0,16,0.328,
Snowshoe White Ale,Midnight Sun Brewing Company,AK,West,Witbier,Belgian,Ale,12,48.0,12,0.384,
Kodiak Brown Ale,Midnight Sun Brewing Company,AK,West,American Brown Ale,Dark Ale,Dark,12,50.0,24,0.4,
HGH (Home Grown Hops): Part Duh,Oskar Blues Brewery,CO,West,American Strong Ale,Strong Ale,Strong Ale,12,80.0,70,0.64,
Wee Muckle (2011),Sun King Brewing Company,IN,Midwest,Scotch Ale / Wee Heavy,Strong Ale,Strong Ale,16,90.0,30,0.72,
Long Hammer IPA,Redhook Brewery,WA,West,American IPA,IPA,Strong Ale,12,65.0,44,0.52,
312 Urban Wheat Ale (2012),Goose Island Brewing Company,IL,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,42.0,20,0.336,
Narragansett Cream Ale,Narragansett Brewing Company,RI,Northeast,Cream Ale,Pale Ale,Ale,16,50.0,22,0.4,
Big Sky IPA (2012),Big Sky Brewing Company,MT,West,American IPA,IPA,Strong Ale,12,62.0,65,0.496,
Shift,New Belgium Brewing Company,CO,West,American Pale Lager,Lager,Lager,16,50.0,29,0.4,
White Thai,Westbrook Brewing Company,SC,South,Witbier,Belgian,Ale,12,50.0,16,0.4,
Westbrook IPA,Westbrook Brewing Company,SC,South,American IPA,IPA,Strong Ale,12,68.0,65,0.544,
Blackbeary Wheat,Long Trail Brewing Company,VT,Northeast,Fruit / Vegetable Beer,Sour,Other,12,40.0,8,0.32,
Long Trail Ale (1),Long Trail Brewing Company,VT,Northeast,Altbier,German Ale,Ale,12,46.0,30,0.368,
Barney Flats Oatmeal Stout (2012),Anderson Valley Brewing Company,CA,West,Oatmeal Stout,Stout / Porter,Dark,12,57.0,13,0.456,
Maduro Brown Ale,Cigar City Brewing Company,FL,South,American Brown Ale,Dark Ale,Dark,12,55.0,25,0.44,
Tocobaga Red Ale,Cigar City Brewing Company,FL,South,American Amber / Red Ale,Dark Ale,Dark,12,72.0,75,0.576,
Churchkey Pilsner Style Beer,Churchkey Can Company,WA,West,American Pilsner,Pale Ale,Ale,12,49.0,29,0.392,
East India Pale Ale,Brooklyn Brewery,NY,Northeast,English India Pale Ale (IPA),IPA,Strong Ale,12,68.0,47,0.544,
Ranger IPA,New Belgium Brewing Company,CO,West,American IPA,IPA,Strong Ale,16,65.0,70,0.52,
Fat Tire Amber Ale,New Belgium Brewing Company,CO,West,American Amber / Red Ale,Dark Ale,Dark,16,52.0,18,0.416,
Persnickety Pale,Two Beers Brewing Company,WA,West,American Pale Ale (APA),Pale Ale,Ale,12,57.0,36,0.456,
Jon Boat Coastal Ale,Intuition Ale Works,FL,South,American Blonde Ale,Pale Ale,Ale,12,45.0,20,0.36,
I-10 IPA,Intuition Ale Works,FL,South,American IPA,IPA,Strong Ale,12,68.0,55,0.544,
Eclipse Black IPA,Crabtree Brewing Company,CO,West,American Black Ale,Dark Ale,Dark,16,77.0,71,0.616,
Le Mort Vivant (2011),Southern Star Brewing Company,TX,South,Bière de Garde,Ale - Other,Ale,12,69.0,23,0.552,
People's Pale Ale,Intuition Ale Works,FL,South,American Pale Ale (APA),Pale Ale,Ale,12,53.0,28,0.424,
Rocket Girl,Asheville Brewing Company,NC,South,Kölsch,German Ale,Ale,12,32.0,27,0.256,
Point the Way IPA (2012),Golden Road Brewing,CA,West,American IPA,IPA,Strong Ale,16,59.0,60,0.472,
Golden Road Hefeweizen (2012),Golden Road Brewing,CA,West,Hefeweizen,German Ale,Ale,16,46.0,15,0.368,
La Perouse White,Maui Brewing Company,HI,West,Witbier,Belgian,Ale,12,50.0,12,0.4,
Jai Alai IPA,Cigar City Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,75.0,70,0.6,
Florida Cracker Belgian Wit,Cigar City Brewing Company,FL,South,Witbier,Belgian,Ale,12,50.0,18,0.4,
Old Elephant Foot IPA,Tampa Bay Brewing Company,FL,South,American IPA,IPA,Strong Ale,16,70.0,80,0.56,
Big Cock IPA,Great River Brewery,IA,Midwest,American IPA,IPA,Strong Ale,16,70.0,70,0.56,
Oktoberfest,Great River Brewery,IA,Midwest,Märzen / Oktoberfest,German Lager,Lager,16,59.0,25,0.472,
Dirty Blonde Ale,Atwater Brewery,MI,Midwest,American Blonde Ale,Pale Ale,Ale,12,45.0,8,0.36,
Amber Road,Baxter Brewing Company,ME,Northeast,American Amber / Red Ale,Dark Ale,Dark,12,55.0,35,0.44,
Grapefruit Jungle (GFJ) (2011),Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,75.0,77,0.6,
Special Edition: Allies Win The War!,21st Amendment Brewery,CA,West,English Strong Ale,Strong Ale,Strong Ale,12,85.0,52,0.68,
Tin Roof Blonde Ale,Tin Roof Brewing Company,LA,South,American Blonde Ale,Pale Ale,Ale,12,45.0,18,0.36,
Grand Circus IPA,Atwater Brewery,MI,Midwest,American IPA,IPA,Strong Ale,12,50.0,62,0.4,
Atwater's Lager,Atwater Brewery,MI,Midwest,Munich Helles Lager,German Lager,Lager,12,50.0,12,0.4,
Sun King Oktoberfest (2011),Sun King Brewing Company,IN,Midwest,Märzen / Oktoberfest,German Lager,Lager,16,55.0,23,0.44,
Diesel,Sixpoint Craft Ales,NY,Northeast,American Stout,Stout / Porter,Dark,16,63.0,69,0.504,
Winter Solstice,Anderson Valley Brewing Company,CA,West,Winter Warmer,Dark Ale,Dark,12,69.0,6,0.552,
McKinney Eddy Amber Ale,Piney River Brewing Company,,,American Amber / Red Ale,Dark Ale,Dark,16,55.0,20,0.44,
SoDo Brown Ale,Two Beers Brewing Company,WA,West,American Brown Ale,Dark Ale,Dark,12,54.0,20,0.432,
Immersion Amber Ale (2011),Two Beers Brewing Company,WA,West,American Amber / Red Ale,Dark Ale,Dark,12,52.0,27,0.416,
40th Annual Bix Street Fest Copper Ale (Current),Great River Brewery,IA,Midwest,American Amber / Red Ale,Dark Ale,Dark,16,48.0,25,0.384,
Jockamo IPA,Abita Brewing Company,LA,South,American IPA,IPA,Strong Ale,12,65.0,52,0.52,
Purple Haze,Abita Brewing Company,LA,South,Fruit / Vegetable Beer,Sour,Other,12,42.0,13,0.336,
Abita Amber,Abita Brewing Company,LA,South,American Amber / Red Lager,Lager,Lager,12,45.0,17,0.36,
Bomb Lager (Old Recipe),Bomb Beer Company,NY,Northeast,Munich Helles Lager,German Lager,Lager,12,45.0,27,0.36,
Autumnation (2011-12) (2011),Sixpoint Craft Ales,NY,Northeast,Pumpkin Ale,Ale - Other,Ale,16,60.0,48,0.48,
Evolutionary IPA (2011),Two Beers Brewing Company,WA,West,American IPA,IPA,Strong Ale,12,62.0,70,0.496,
Alteration,Hops & Grain Brewery,TX,South,Altbier,German Ale,Ale,12,51.0,40,0.408,
Pale Dog,Hops & Grain Brewery,TX,South,American Pale Ale (APA),Pale Ale,Ale,12,60.0,50,0.48,
Alphadelic IPA (2011),Hop Valley Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,65.0,90,0.52,
Double D Blonde (2011),Hop Valley Brewing Company,OR,West,American Blonde Ale,Pale Ale,Ale,12,49.0,20,0.392,
Hilliard's Amber Ale,Hilliard's Beer,WA,West,American Amber / Red Ale,Dark Ale,Dark,16,55.0,60,0.44,
Hilliard's Saison,Hilliard's Beer,WA,West,Saison / Farmhouse Ale,Ale - Other,Ale,16,66.0,30,0.528,
Voodoo Bengal Pale Ale,Tin Roof Brewing Company,LA,South,American Pale Ale (APA),Pale Ale,Ale,12,55.0,37,0.44,
Perfect Tin Amber,Tin Roof Brewing Company,LA,South,American Amber / Red Ale,Dark Ale,Dark,12,45.0,28,0.36,
Trailhead India Style Session Ale (2011),Two Beers Brewing Company,WA,West,American IPA,IPA,Strong Ale,12,48.0,48,0.384,
Missouri Mule India Pale Ale,Piney River Brewing Company,,,American IPA,IPA,Strong Ale,16,70.0,70,0.56,
Great Crescent Belgian Style Wit,Great Crescent Brewery,IN,Midwest,Witbier,Belgian,Ale,16,51.0,13,0.408,
Fox Tail Gluten Free Ale,Joseph James Brewing Company,NV,West,American Pale Ale (APA),Pale Ale,Ale,12,50.0,50,0.4,
Hop Box Imperial IPA,Joseph James Brewing Company,NV,West,American Double / Imperial IPA,IPA,Strong Ale,12,93.0,90,0.744,
Joseph James American Lager,Joseph James Brewing Company,NV,West,American Adjunct Lager,Lager,Lager,12,52.0,15,0.416,
Top Rope Mexican-style Craft Lager,Upslope Brewing Company,CO,West,Vienna Lager,Lager,Lager,12,48.0,15,0.384,
Sympathy for the Lager,Karbach Brewing Company,TX,South,American Amber / Red Lager,Lager,Lager,12,49.0,45,0.392,
Weisse Versa,Karbach Brewing Company,TX,South,Hefeweizen,German Ale,Ale,12,52.0,15,0.416,
Hopadillo India Pale Ale,Karbach Brewing Company,TX,South,American IPA,IPA,Strong Ale,12,66.0,70,0.528,
Dundee Summer Wheat Beer,Dundee Brewing Company,NY,Northeast,American Pale Wheat Ale,Pale Ale,Ale,12,45.0,18,0.36,
Point Oktoberfest,Stevens Point Brewery,WI,Midwest,Märzen / Oktoberfest,German Lager,Lager,12,57.0,15,0.456,
Bourbon's Barrel Stout,Great Crescent Brewery,IN,Midwest,American Stout,Stout / Porter,Dark,16,75.0,65,0.6,
Special Amber,Sprecher Brewing Company,WI,Midwest,Vienna Lager,Lager,Lager,12,50.0,22,0.4,
Upslope Craft Lager,Upslope Brewing Company,CO,West,Vienna Lager,Lager,Lager,12,48.0,22,0.384,
Great Crescent Stout,Great Crescent Brewery,IN,Midwest,English Stout,Stout / Porter,Dark,16,80.0,66,0.64,
Great Crescent Dark Lager,Great Crescent Brewery,IN,Midwest,Euro Dark Lager,Lager,Lager,16,57.0,23,0.456,
Great Crescent Mild Ale,Great Crescent Brewery,IN,Midwest,English Dark Mild Ale,Dark Ale,Dark,16,42.0,26,0.336,
Great Crescent IPA (2011),Great Crescent Brewery,IN,Midwest,American IPA,IPA,Strong Ale,16,62.0,60,0.496,
Flyin' HI.P.Hay,Maui Brewing Company,HI,West,American IPA,IPA,Strong Ale,12,68.0,68,0.544,
Sockeye Red IPA,Midnight Sun Brewing Company,AK,West,American IPA,IPA,Strong Ale,12,57.0,70,0.456,
Greenville Pale Ale,Twin Lakes Brewing Company,DE,South,American Pale Ale (APA),Pale Ale,Ale,12,55.0,52,0.44,
Hop Crisis,21st Amendment Brewery,CA,West,American Double / Imperial IPA,IPA,Strong Ale,12,97.0,94,0.776,
Colorado Native (2011),AC Golden Brewing Company,CO,West,American Amber / Red Lager,Lager,Lager,12,55.0,26,0.44,
Hop Slayer Double IPA (2011),Wild Onion Brewing Company,IL,Midwest,American Double / Imperial IPA,IPA,Strong Ale,12,82.0,100,0.656,
Shiva IPA,Asheville Brewing Company,NC,South,American IPA,IPA,Strong Ale,12,60.0,69,0.48,
Torpedo,Sierra Nevada Brewing Company,CA,West,American IPA,IPA,Strong Ale,16,72.0,65,0.576,
The Crisp (2011),Sixpoint Craft Ales,NY,Northeast,German Pilsener,German Lager,Lager,16,54.0,42,0.432,
Sweet Action (2011),Sixpoint Craft Ales,NY,Northeast,Cream Ale,Pale Ale,Ale,16,52.0,34,0.416,
Righteous Ale (2011),Sixpoint Craft Ales,NY,Northeast,Rye Beer,Other,Other,16,63.0,57,0.504,
Bengali Tiger (2011),Sixpoint Craft Ales,NY,Northeast,American IPA,IPA,Strong Ale,16,64.0,62,0.512,
Mustang Golden Ale,Mustang Brewing Company,OK,South,American Blonde Ale,Pale Ale,Ale,12,53.0,10,0.424,
Washita Wheat,Mustang Brewing Company,OK,South,American Pale Wheat Ale,Pale Ale,Ale,12,53.0,14,0.424,
Fistmas Ale,Revolution Brewing Company,IL,Midwest,Herbed / Spiced Beer,Other,Other,12,61.0,31,0.488,
Oktoberfest Revolution,Revolution Brewing Company,IL,Midwest,Märzen / Oktoberfest,German Lager,Lager,12,57.0,25,0.456,
Anti-Hero IPA,Revolution Brewing Company,IL,Midwest,American IPA,IPA,Strong Ale,12,65.0,70,0.52,
Bottom Up Belgian Wit,Revolution Brewing Company,IL,Midwest,Witbier,Belgian,Ale,12,50.0,14,0.4,
